k,experiment,path,accuracy
0,off-policy,tinker://39d6fc1d-2fb9-5afe-8439-afcec5898010:train:0/sampler_weights/off-policy-k0-rank32-final,0.250200
1,off-policy,tinker://e53587a0-88d3-5cc4-ac59-a696c4d0c122:train:0/sampler_weights/off-policy-k1-rank32-final,0.615000
5,delta-on-policy,tinker://bd894394-b96a-5d7a-bd80-264667238a5a:train:0/sampler_weights/delta-on-policy-k5-rank32-final,0.404600
50,on-policy,tinker://225b8098-fe7e-5086-8881-c868f5f1fdd3:train:0/sampler_weights/on-policy-k50-rank32-final,0.748000
5,off-policy,tinker://5e59f57a-f477-5ba8-9224-c72e35f3dc9f:train:0/sampler_weights/off-policy-k5-rank32-final,0.717800
20,delta-on-policy,tinker://5d49697d-4ebe-54ca-a5eb-6b3f8069fbe2:train:0/sampler_weights/delta-on-policy-k20-rank32-final,0.730600
20,on-policy,tinker://6e4b7668-5059-52cb-972e-b54d0abe99c3:train:0/sampler_weights/on-policy-k20-rank32-final,0.668600
1,delta-on-policy,tinker://0a8f0853-9127-5973-8680-b7887bf7d564:train:0/sampler_weights/delta-on-policy-k1-rank32-final,0.325400
5,on-policy,tinker://41494fc2-422a-5e54-aa2e-d367546ec87a:train:0/sampler_weights/on-policy-k5-rank32-final,0.395200
0,on-policy,tinker://83eb2ee9-00be-5c9c-8f8f-92c9cac879e9:train:0/sampler_weights/on-policy-k0-rank32-final,0.239400
0,delta-on-policy,tinker://b5169a91-09ae-5cbb-889a-9de829ceadc7:train:0/sampler_weights/delta-on-policy-k0-rank32-final,0.236000
1,on-policy,tinker://e2c25848-1c23-5925-94aa-d9727094d16c:train:0/sampler_weights/on-policy-k1-rank32-final,0.318800
50,off-policy,tinker://cc763284-c5fb-5208-8f27-94ef27b34aa0:train:0/sampler_weights/off-policy-k50-rank32-final,0.707200
20,off-policy,tinker://a869a162-c2cd-5c4e-98a1-69711892523d:train:0/sampler_weights/off-policy-k20-rank32-final,0.717800
50,delta-on-policy,tinker://4d006689-dd53-52de-908e-b1b5b3fd6988:train:0/sampler_weights/delta-on-policy-k50-rank32-final,0.726000
10,off-policy,tinker://d5e1eae5-b1b0-58c2-b4c8-840b06f61695:train:0/sampler_weights/off-policy-k10-rank32-final,0.699800
10,on-policy,tinker://200bfc39-920b-5370-8bf2-d1f174d07456:train:0/sampler_weights/on-policy-k10-rank32-final,0.627200
10,delta-on-policy,tinker://65a2f31e-78af-5615-9044-7be2f87061f7:train:0/sampler_weights/delta-on-policy-k10-rank32-final,0.390200
